变量名称,变量说明,变量值,变量类型
第一作者,署名排在第一位的作者,NA,分类数据
最后作者,署名排在最后一位的作者,NA,分类数据
年份,期刊发表的年份,NA,数值数据
期刊,期刊名称,NA,分类数据
文章_编号,文章编号,作者_年份_期刊,分类数据
研究,文章中独立研究的顺序,NA,数值数据
样本_数量,样本量,NA,数值数据
女性数量,女性参与者数量,NA,数值数据
种族_高加索人,来自于欧洲，北亚，西亚的人1,NA,数值数据
种族_蒙古人,来自于亚洲的人2,NA,数值数据
种族_黑人,来自于撒哈拉沙漠以南非洲国家的人3,NA,数值数据
种族_其他,来自于其他地方的人,NA,数值数据
组别,参与者的组别,健康人群，不健康人群；年轻人，老年人；双相型障碍，精神分裂，健康人群,分类数据
年龄_平均数,年龄的平均值,NA,数值数据
年龄_最小值,年龄最小值,NA,数值数据
年龄_最大值,年龄最大值,NA,数值数据
教育,受教育的年份,NA,数值数据
招募_渠道,招募被试的渠道,NA,分类数据
数据_收集_地点,收集数据的地点,省份/州，国家,分类数据
,,,
,,,
,,,
参考:,,,
"[1] Wikimedia Foundation. (2022, August 6). Caucasian race. Wikipedia. Retrieved September 24, 2022, from https://en.wikipedia.org/wiki/Caucasian_race",,,
"[2] Wikimedia Foundation. (2022, September 11). Mongoloid. Wikipedia. Retrieved September 24, 2022, from https://en.wikipedia.org/wiki/Mongoloid",,,
"[3] Wikimedia Foundation. (2022, September 1). Negroid. Wikipedia. Retrieved September 24, 2022, from https://en.wikipedia.org/wiki/Negroid",,,
